 INFO  Accepting connections at http://localhost:3000
 HTTP  8/23/2025 8:11:27 AM ::1 GET /
 HTTP  8/23/2025 8:11:27 AM ::1 Returned 200 in 11 ms
 HTTP  8/23/2025 8:12:29 AM ::1 GET /
 HTTP  8/23/2025 8:12:29 AM ::1 Returned 200 in 1 ms
 HTTP  8/23/2025 8:12:29 AM ::1 GET /assets/index-fRBM9Eih.js
 HTTP  8/23/2025 8:12:29 AM ::1 Returned 200 in 4 ms
 HTTP  8/23/2025 8:12:30 AM ::1 GET /favicon.ico
 HTTP  8/23/2025 8:12:30 AM ::1 Returned 200 in 1 ms
 HTTP  8/23/2025 9:28:51 AM ::1 GET /
 HTTP  8/23/2025 9:28:51 AM ::1 Returned 304 in 4 ms
 HTTP  8/23/2025 9:28:52 AM ::1 GET /assets/index-fRBM9Eih.js
 HTTP  8/23/2025 9:28:52 AM ::1 Returned 304 in 1 ms
 HTTP  8/23/2025 9:28:52 AM ::1 GET /favicon.ico
 HTTP  8/23/2025 9:28:52 AM ::1 Returned 304 in 1 ms
